Source,Target,Type,id,label,timeset,weight,net_exp
China,Slovenia,Undirected,2313,,,0.009999999776482582,1927739
China,SouthAfrica,Undirected,2315,,,0.029999999329447746,1.01e+07
China,Spain,Undirected,2316,,,0.05999999865889549,1.70e+07
China,SriLanka,Undirected,2317,,,0.009999999776482582,4003566
China,Sudan,Undirected,2319,,,0.009999999776482582,2069300
China,Sweden,Undirected,2321,,,0.009999999776482582,1787815
China,Tajikistan,Undirected,2323,,,0.009999999776482582,1723238
China,TanzaniaUnitedRepublic,Undirected,2324,,,0.009999999776482582,3784971
China,Thailand,Undirected,2325,,,0.05000000074505806,1.50e+07
China,Togo,Undirected,2327,,,0.009999999776482582,2058104
China,Turkey,Undirected,2331,,,0.05999999865889549,1.62e+07
China,UnitedArabEmirates,Undirected,2336,,,0.07999999821186066,2.42e+07
China,UnitedKingdom,Undirected,2337,,,0.10999999940395355,3.20e+07
China,UnitedStates,Undirected,2338,,,1.0,2.95e+08
China,VietNam,Undirected,2341,,,0.15000000596046448,4.49e+07
Colombia,Panama,Undirected,2402,,,0.009999999776482582,2485075
CzechRepublic,France,Undirected,2830,,,0.009999999776482582,3724112
CzechRepublic,Germany,Undirected,2834,,,0.029999999329447746,1.01e+07
CzechRepublic,Slovakia,Undirected,2899,,,0.019999999552965164,4591443
CzechRepublic,Spain,Undirected,2903,,,0.009999999776482582,1797227
CzechRepublic,UnitedKingdom,Undirected,2919,,,0.019999999552965164,5220199
CzechRepublic,UnitedStates,Undirected,2920,,,0.009999999776482582,1710475
Denmark,Norway,Undirected,3044,,,0.009999999776482582,2108717
Denmark,UnitedKingdom,Undirected,3084,,,0.009999999776482582,1900055
Denmark,UnitedStates,Undirected,3085,,,0.009999999776482582,2995570
DominicanRepublic,Haiti,Undirected,3128,,,0.009999999776482582,1625566
Finland,UnitedStates,Undirected,3672,,,0.009999999776482582,2431540
France,Algeria,Undirected,3682,,,0.009999999776482582,3626480
France,Australia,Undirected,3688,,,0.009999999776482582,2493956
France,Brazil,Undirected,3699,,,0.009999999776482582,4136459
France,Cameroon,Undirected,3705,,,0.009999999776482582,1559444
France,Canada,Undirected,3706,,,0.009999999776482582,2238794
France,CaymanIslands,Undirected,3707,,,0.009999999776482582,3887589
France,ChinaHongKongSAR,Undirected,3710,,,0.009999999776482582,1616622
France,Egypt,Undirected,3724,,,0.009999999776482582,3508968
France,Greece,Undirected,3737,,,0.009999999776482582,1611341
France,Indonesia,Undirected,3745,,,0.009999999776482582,1700230
France,Japan,Undirected,3748,,,0.009999999776482582,3330347
