ifs,id,PPPGDP,PPPPC,region,income,landlocked,resource rich,ss,Latitude,Longtitude,
1114,Montserrat,1,1,Latin America & Caribbean,,,,,16.742498,-62.187366,
686,Morocco,274.0600337,8180.163977,Middle East & North Africa,2,2,2,2,31.791702,-7.09262,
688,Mozambique,33.35449721,1192.174585,Sub-Saharan Africa,3,2,1,2,-18.665695,35.529562,
518,Myanmar,284.10821,5479.883935,East Asia & Pacific,3,2,2,2,21.913965,95.956223,
728,Namibia,25.59974419,11224.43311,Sub-Saharan Africa,2,2,2,2,-22.95764,18.49041,
1133,Nauru,1,1,East Asia & Pacific,,,,1,-0.522778,166.931503,
558,Nepal,70.20285144,2463.062603,South Asia,3,1,2,2,28.394857,84.124008,
138,Netherlands,840.4741163,49623.55295,Europe & Central Asia,1,2,2,2,52.132633,5.291266,
1134,NewCaledonia,1,1,East Asia & Pacific,,,,1,-20.904305,165.618042,
196,NewZealand,167.9339951,36135.81974,East Asia & Pacific,1,2,2,2,-40.900557,174.885971,
278,Nicaragua,31.62837326,5044.294095,Latin America & Caribbean,3,2,2,2,12.865416,-85.207229,
692,Niger,19.00860485,1077.178738,Sub-Saharan Africa,3,1,1,2,17.607789,8.081666,
694,Nigeria,1093.920007,6120.826428,Sub-Saharan Africa,3,2,1,2,9.081999,8.675277,
1135,Niue,1,1,East Asia & Pacific,,,,1,-19.054445,-169.867233,
1136,NorthernMarianas,1,1,East Asia & Pacific,,,,1,17.33083,145.38469,
142,Norway,357.048523,68591.49939,Europe & Central Asia,1,2,1,2,60.472024,8.468946,
449,Oman,167.8242159,43706.69472,Middle East & North Africa,2,2,1,2,21.512583,55.923255,
564,Pakistan,931.5583222,4906.295477,South Asia,2,2,2,2,30.375321,69.345116,
565,Palau,0.272082958,15213.23444,East Asia & Pacific,2,2,2,2,7.51498,134.58252,
283,Panama,87.37310094,21808.90062,Latin America & Caribbean,2,2,2,2,8.537981,-80.782127,
